ID POP REGION
HG00731 PUR AMR
HG00731 PUR AMR
HG00732 PUR AMR
HG00732 PUR AMR
NA06985 CEU EUR
NA06985 CEU EUR
NA06994 CEU EUR
NA06994 CEU EUR
NA07357 CEU EUR
NA07357 CEU EUR
NA10851 CEU EUR
NA10851 CEU EUR
NA12004 CEU EUR
NA12004 CEU EUR
NA12889 CEU EUR
NA12889 CEU EUR
NA12890 CEU EUR
NA12890 CEU EUR
NA12891 CEU EUR
NA12891 CEU EUR
NA12892 CEU EUR
NA12892 CEU EUR
NA18501 YRI AFR
NA18501 YRI AFR
NA18502 YRI AFR
NA18502 YRI AFR
NA18504 YRI AFR
NA18504 YRI AFR
NA18505 YRI AFR
NA18505 YRI AFR
NA18508 YRI AFR
NA18508 YRI AFR
NA18517 YRI AFR
NA18517 YRI AFR
NA18526 CHB EAS
NA18526 CHB EAS
NA18537 CHB EAS
NA18537 CHB EAS
NA18555 CHB EAS
NA18555 CHB EAS
NA18558 CHB EAS
NA18558 CHB EAS
NA18940 JPT EAS
NA18940 JPT EAS
NA18942 JPT EAS
NA18942 JPT EAS
NA18947 JPT EAS
NA18947 JPT EAS
NA18956 JPT EAS
NA18956 JPT EAS
NA19017 LWK AFR
NA19017 LWK AFR
NA19020 LWK AFR
NA19020 LWK AFR
NA19025 LWK AFR
NA19025 LWK AFR
NA19026 LWK AFR
NA19026 LWK AFR
NA19129 YRI AFR
NA19129 YRI AFR
NA19238 YRI AFR
NA19238 YRI AFR
NA19239 YRI AFR
NA19239 YRI AFR
NA19648 MXL AMR
NA19648 MXL AMR
NA19649 MXL AMR
NA19649 MXL AMR
NA19669 MXL AMR
NA19669 MXL AMR
NA19670 MXL AMR
NA19670 MXL AMR
NA19700 ASW AFR
NA19700 ASW AFR
NA19701 ASW AFR
NA19701 ASW AFR
NA19703 ASW AFR
NA19703 ASW AFR
NA19704 ASW AFR
NA19704 ASW AFR
NA19735 MXL AMR
NA19735 MXL AMR
NA19834 ASW AFR
NA19834 ASW AFR
NA20502 TSI EUR
NA20502 TSI EUR
NA20509 TSI EUR
NA20509 TSI EUR
NA20510 TSI EUR
NA20510 TSI EUR
NA20511 TSI EUR
NA20511 TSI EUR
NA20845 GIH SAS
NA20845 GIH SAS
NA20846 GIH SAS
NA20846 GIH SAS
NA20847 GIH SAS
NA20847 GIH SAS
NA20850 GIH SAS
NA20850 GIH SAS
NA21732 MKK AFR
NA21732 MKK AFR
NA21733 MKK AFR
NA21733 MKK AFR
NA21737 MKK AFR
NA21737 MKK AFR
NA21767 MKK AFR
NA21767 MKK AFR
